,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSAMXG00000037459,84.13363929,1.652769409,0.547987601,3.016070813,0.002560734,0.042223905
ENSAMXG00000038512,51.29871869,1.914162763,0.309870227,6.177304552,6.52052186271261e-10,2.32871546706059e-07
ENSAMXG00000038570,67.7620124,1.548438932,0.373962735,4.14062362,3.46362884649404e-05,0.00196489
ENSAMXG00000038747,21.07298857,1.692140096,0.50052155,3.38075373,0.000722873,0.018233108
ENSAMXG00000038847,22.49717042,1.149743097,0.389683123,2.950456482,0.003173047,0.048835717
ENSAMXG00000039035,41.61977561,2.035180562,0.329869294,6.169657487,6.84380806099213e-10,2.34995856709379e-07
ENSAMXG00000039045,378.5986135,1.086193619,0.234985587,4.622384,3.79354950072209e-06,0.00034658
ENSAMXG00000039367,137.1374355,1.18454988,0.311248042,3.805806692,0.000141343,0.005594609
ENSAMXG00000039477,4.74675016,3.653755948,1.165135663,3.135906028,0.001713241,0.032843702
ENSAMXG00000039556,16.79393448,2.598121101,0.595206827,4.365072749,1.27080458343578e-05,0.000891492
ENSAMXG00000039620,79.75006775,1.665332748,0.423008133,3.93688116,8.25474604307776e-05,0.003907081
ENSAMXG00000039672,4.755867408,5.851238122,1.59808262,3.661411525,0.000250829,0.008643716
ENSAMXG00000039682,9.201050615,3.098179368,0.971349987,3.189560313,0.001424894,0.029003607
ENSAMXG00000040098,24.1648428,1.560778339,0.411652478,3.791495064,0.000149743,0.005838867
ENSAMXG00000040150,53.03098658,1.512966869,0.335429489,4.510536249,6.46639496987942e-06,0.000518433
ENSAMXG00000040237,33.7277922,2.015151235,0.642627996,3.135797455,0.001713875,0.032843702
ENSAMXG00000040479,273.7532323,5.225904285,0.311122981,16.79690864,2.57099056171865e-63,2.02002728434235e-59
ENSAMXG00000041045,922.4061864,1.666222759,0.142574152,11.68670994,1.49049355935442e-31,5.85540394792385e-28
ENSAMXG00000041585,16.18312259,3.085691151,0.81610541,3.78099583,0.000156202,0.006016085
ENSAMXG00000041641,101.2789953,1.294998738,0.406169759,3.188318944,0.001431026,0.029015667
ENSAMXG00000041711,52.17131068,2.578767787,0.512584961,5.030908007,4.88162350915168e-07,6.44620435485794e-05
ENSAMXG00000041826,39.93860788,1.717915054,0.372144332,4.616260161,3.90717092202381e-06,0.000346877
ENSAMXG00000042040,257.0462762,1.604568873,0.499510727,3.21228111,0.001316855,0.027269222
ENSAMXG00000042089,9.333322145,3.001950965,0.993392826,3.021917298,0.002511792,0.041679296
ENSAMXG00000042092,37.38581738,1.538443979,0.407224836,3.777873655,0.000158173,0.006062273
ENSAMXG00000042149,14.2467522,1.885545401,0.518202737,3.63862494,0.000274098,0.009144735
ENSAMXG00000042310,19.85286117,3.327089755,0.865040504,3.846166438,0.00011998,0.004967713
ENSAMXG00000042483,6.098293513,3.725625873,0.962740278,3.869814069,0.000108918,0.004714996
ENSAMXG00000042749,114.1659182,1.087742501,0.226096435,4.810967054,1.50201777146931e-06,0.000162777
ENSAMXG00000042885,17.57569764,3.304900088,0.775642526,4.26085468,2.03646621495256e-05,0.001306164
ENSAMXG00000043088,29.78307668,2.61453307,0.431879643,6.053846513,1.41427372137338e-09,4.44477945153224e-07
ENSAMXG00000043419,28.11337595,1.057013405,0.342351493,3.087509259,0.002018415,0.036498701
ENSAMXG00000043438,17.97341312,3.402838309,0.935936337,3.635758304,0.000277164,0.009207943
ENSAMXG00000043603,144.4731925,3.130187119,0.643595138,4.863596588,1.15271734479547e-06,0.00013413
ENSAMXG00000043608,9.035737211,3.890959381,0.927792496,4.193781905,2.74341761250699e-05,0.001664481
ENSAMXG00000043679,197.6348996,1.229811232,0.364058546,3.37805896,0.000729994,0.018308738
ENSAMXG00000043920,15.74994018,1.794239966,0.47398465,3.785438975,0.000153437,0.005938711
ENSAMXG00000044077,54.10609265,4.243737386,0.569049079,7.457594688,8.81162361820352e-14,7.28767650191842e-11
