"","Gene.stable.ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name"
"146","ENSAMXG00000004725",844.85970897902,-0.495281446493446,0.139094950948195,-3.56074352891436,0.000369806154984532,0.00415227459830357,"inpp5f"
"147","ENSAMXG00000004854",202.504027582218,-0.905515410455605,0.309790941518858,-2.92298866460072,0.0034668913739367,0.0249708470578738,"igsf9bb"
"148","ENSAMXG00000004927",854.855992626419,-0.311124865457215,0.110278879144007,-2.82125523828488,0.00478361258628013,0.0317048996976884,"acap3a"
"149","ENSAMXG00000004936",1021.69566820254,-0.538483727719483,0.0862152291743693,-6.24580753164161,4.21616092909402e-10,2.5645775681152e-08,"lgi1b"
"150","ENSAMXG00000005012",27.451105147788,-2.05098863538353,0.599795456790641,-3.41948011136642,0.000627409188096183,0.00630604501516685,"mpp4l"
"151","ENSAMXG00000005045",1408.89027223819,-0.464605250084434,0.105605786711957,-4.39942984707516,1.08535655655278e-05,0.000211954088896076,"prrc2c"
"152","ENSAMXG00000005063",64.725384832385,-1.02249453178666,0.267336907774712,-3.82474137333977,0.000130909436378611,0.00177240177179273,"ccdc90b"
"153","ENSAMXG00000005093",63.1486385427883,-0.763916025298333,0.251032564003733,-3.04309533836803,0.00234158134820557,0.018278281580339,"MPC2"
"154","ENSAMXG00000005133",1146.24092085897,-0.401347253969243,0.0833555156890198,-4.81488538162941,1.47284403196319e-06,3.73781522483849e-05,"gabbr1a"
"155","ENSAMXG00000005176",2928.42341869071,-0.567358279926472,0.166668220205421,-3.40411794898389,0.000663780842212328,0.00662004971944816,"si:ch1073-440b2.1"
"156","ENSAMXG00000005181",363.602596821739,-0.520195470625022,0.136155135454875,-3.82060852047278,0.000133122813979144,0.00179656894971854,"dhx16"
"157","ENSAMXG00000005194",1155.70617572585,-0.926266114469435,0.190300271137794,-4.86739251043282,1.13080299492291e-06,2.95470720246601e-05,"si:ch211-156l18.7"
"158","ENSAMXG00000005197",106.413089693563,-0.624929891391495,0.229480877820198,-2.72323296532419,0.00646464535870269,0.0398546217906055,"mfsd9"
"159","ENSAMXG00000005220",175.46148960894,-0.651003254841172,0.179361150453062,-3.62956667704658,0.000283897393964243,0.00335221828177262,"pfas"
"164","ENSAMXG00000005345",16.2477204333289,-1.72719439356629,0.538288181671007,-3.20867975998388,0.00133345923499378,0.0115960490756976,"tsga10"
"165","ENSAMXG00000005351",650.98096667199,-0.347836081308437,0.11020915805807,-3.15614498320691,0.00159869372990193,0.0134477946220335,"txndc9"
"166","ENSAMXG00000005406",1987.2901696959,-0.412041468957034,0.125995137921206,-3.27029658251347,0.00107434779858323,0.00973645830428619,"cry1a"
